mean_rojo;sd_rojo;mean_verde;sd_verde;mean_azul;sd_azul;aspect_ratio;extent;clase
215,43;250,39;242,66;8,71;8,58;8,99;0,93;0,85;nada
213,5;253,16;240,07;8,88;4,52;6,8;1,42;0,89;nada
208,98;253,13;239,71;12,24;6;10,89;1,31;0,67;nada
212,36;241,18;239,87;9,33;10,83;11,19;0,85;0,89;nada
98,76;164,67;165,11;44,84;29,33;25,09;0,72;0,96;energia
112,55;128,09;119,36;42,86;42,34;38,45;0,64;0,92;garantia
101,85;136,16;159,04;6,65;9,46;13,66;0,26;0,63;nada
135,87;215,13;228,29;58,05;34,6;28,51;0,7;0,96;energia
112,25;131,42;128,46;57,32;59,94;54,63;0,65;0,9;garantia
217,39;254,97;242,39;4,69;0,24;5,64;2,18;0,76;nada
197,86;233,69;226,62;17,54;20,37;19,56;1,69;0,61;nada
204,27;249;234,76;12,1;10,14;12,45;1,34;0,41;nada
220,86;254,97;242,82;3,24;0,41;5,16;0,89;0,63;nada
223,17;254,56;243,79;7,27;2,76;7,67;1,44;0,61;nada
215,93;248,5;239,5;9,53;9,53;12,09;0,75;0,63;nada
219,03;254,42;240,84;5,91;2,69;6,93;2,09;0,61;nada
207,75;248,05;227,88;12,62;11,2;18,06;1;0,77;nada
211,68;248,06;226,34;6,91;6,43;7,98;0,93;0,8;nada
214,28;255;241,84;4,2;0;5,04;1;0,87;nada
219,73;255;237,35;4,23;0;6,27;0,63;0,84;nada
207,29;252,35;235,15;7,96;5,17;9,22;0,55;0,77;nada
208,68;247,15;225,91;11,45;12,22;14,38;0,61;0,59;nada
207,44;243,71;218,81;10,95;11,68;12,88;0,86;0,88;nada
212,15;252,23;220,78;4,62;3,09;6,75;0,91;0,89;nada
213,07;249,87;229,57;10,1;7,4;11,92;1,42;0,58;nada
204,38;246,92;220,46;7,18;6,64;8,89;1;0,85;nada
214,65;252,16;232,09;7,61;5,72;9,44;1,6;0,65;nada
71,08;131,12;135,56;43,56;29,94;25,94;0,72;0,98;energia
209,24;249,67;226,7;10,83;10,08;13,58;1,71;0,87;nada
219,2;253,07;234,67;11,83;6,14;11,51;1,19;0,7;nada
70,62;86,64;83,47;41,02;41,49;39,76;0,62;0,98;garantia
63;91,66;110,15;5,49;4,66;7,04;0,57;0,92;nada
68,79;98,16;118,19;6,7;5,78;9,49;0,35;0,81;nada
107,3;176,98;201,52;49,8;28,02;24,03;0,71;0,96;energia
133,55;177,83;163,64;12,14;18,01;15,97;0,58;0,66;nada
130,94;161,49;174,8;12,15;17,71;13,2;0,5;0,83;nada
168,47;223,01;209,41;31,99;40,9;36,12;0,38;0,78;nada
159,25;220,35;197,79;26,2;29,41;28,11;0,25;0,81;nada
156,89;222,37;190,69;24,96;26,31;25,1;0,24;0,82;nada
162,74;223,84;195,24;24,4;28,55;27,21;0,34;0,86;nada
173,14;225,26;190,92;12,2;15,31;12,92;0,19;0,77;nada
161,12;206,9;181,91;14,93;18,28;16,62;0,41;0,88;nada
143,48;187,67;166,25;10,07;7,26;8,62;0,38;0,86;nada
167,76;213,18;188,88;14,16;14,02;13,42;0,53;0,82;nada
190,78;244,22;223,53;9,01;10,56;9,35;0,2;0,83;nada
73,74;136,69;141,23;31,92;12,72;19,49;1,7;0,74;garantia
79,15;125,5;134,95;15,76;9,09;20,61;0,94;0,88;nada
68,65;119,02;113,65;8,4;15,31;16,43;1;0,88;nada
68,96;113,51;110,43;7,67;17,78;15,86;1,08;0,86;nada
73,06;120,23;115,71;7,25;13,04;12,62;0,95;0,88;nada
88,84;128,15;122,1;6,73;12,95;12,2;1,06;0,88;nada
121,5;165,86;146,83;19,71;18,83;11,06;0,71;0,89;nada
117,11;158,69;143,08;10,56;10,91;7,19;3,13;0,89;nada
123,96;168,9;150,64;17,6;17,61;11,02;2,04;0,67;nada
182,06;223,71;226,2;47,82;32,56;30;0,71;0,97;energia
140,05;159,01;156,38;73,81;85,76;83,31;0,65;0,95;garantia
175,94;233,22;198,78;30,16;28,72;36,46;0,73;0,84;nada
128,06;198,79;190,15;18,73;22,52;22,75;0,07;0,72;nada
180,93;230,39;213,39;10,85;3,63;4,57;1,88;0,71;nada
166,8;221,11;203,32;20,92;19,35;19,96;1,38;0,57;nada
142,69;204,18;202,68;22,65;28,68;26,83;0,36;0,62;energia
121,85;164,86;146,6;13,11;16,52;15,01;0,21;0,72;nada
181,78;223,4;196,73;8,63;9,44;7,56;1,07;0,88;nada
181,58;225,12;200,25;16,85;17,51;17,05;1,24;0,87;nada
164,7;217,89;186,05;27,55;30,17;30,01;1,13;0,72;nada
207,91;240,81;238,98;14,04;13,54;13,89;1;0,84;nada
